MINUTO X Y 
0 0 0
1 0 -10
2 0 -20
3 0 -30
4 0 -20
5 10 -20
6 10 -30
7 10 -40
8 10 -50
9 10 -40
10 20 -40
11 10 -40
12 0 -40
13 -10 -40
14 0 -40
15 0 -50
16 0 -40
17 10 -40
18 10 -50
19 10 -60
20 10 -50
21 10 -60
22 10 -70
23 0 -70
24 -10 -70
25 -10 -60
26 -20 -60
27 -20 -70
28 -10 -70
29 0 -70
30 10 -70
31 10 -60
32 0 -60
33 10 -60
34 10 -50
35 10 -40
36 10 -30
37 0 -30
38 -10 -30
39 -20 -30
40 -20 -40
41 -30 -40
42 -20 -40
43 -20 -30
44 -20 -40
45 -30 -40
46 -40 -40
47 -50 -40
48 -60 -40
49 -70 -40
50 -60 -40
51 -60 -30
52 -60 -40
53 -50 -40
54 -60 -40
55 -60 -50
56 -70 -50
57 -80 -50
58 -80 -40
59 -80 -30
